"id","title","description","link","source","published_at","fetched_at","keywords","confidence_score","created_at"
"11","Engineered Nanobodies for early and accurate diagnosis of dengue virus infection","Author summary Dengue virus is a major public health concern in Latin America, with recurring outbreaks placing significant strain on healthcare systems. Early detection is crucial for effective patient management and controlling the spread of the virus. This…","https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0013168","Plos.org","2025-10-31 14:00:00","2025-11-03 21:24:30.825751","[""outbreak"",""infection"",""virus""]","19.2","2025-11-03 21:24:30.825751"
"12","Assessment of vector control strategies based on mass Aedes (Stegomyia) mosquito trapping (AGOs traps) pilot study in a US-Mexico border region of South Texas","Author summary Aedes aegypti mosquitoes are critically important vectors for global public health due to their primary role in the transmission of diseases such as dengue, Zika, chikungunya, and yellow fever, which affect millions of people worldwide, particu…","https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0013665","Plos.org","2025-10-31 14:00:00","2025-11-03 21:24:30.825751","[""disease"",""mosquito"",""ICU"",""us"",""transmission""]","29.98","2025-11-03 21:24:30.825751"
"13","Health effects of street vended fresh cut fruits: A randomized controlled trial in Bangladesh","Foodborne infections, particularly from street-vended fresh-cut fruits, are a growing public health concern in urban settings of developing countries. This study evaluated the gastrointestinal effects of consuming street-vended fruits in a randomized controll…","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0335979","Plos.org","2025-10-31 14:00:00","2025-11-03 21:24:30.825751","[""infection"",""ICU""]","14.07","2025-11-03 21:24:30.825751"
"14","MALDI-TOF MS for malaria vector surveillance: A cost-comparison analysis using a decision-tree approach","Background The use of MALDI-TOF MS for mosquito identification and surveillance is routinely used in developed countries as an affordable alternative to molecular methods. However, in low- and middle-income countries (LMIC) where mosquito-borne diseases carry…","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0335764","Plos.org","2025-10-31 14:00:00","2025-11-03 21:24:30.825751","[""disease"",""mosquito""]","13.9","2025-11-03 21:24:30.825751"
"15","Mycobacterium tuberculosis triggers reduced inflammatory cytokine responses and virulence in mice lacking Tax1bp1","Author summary Macrophages are the first innate immune cells to encounter and be infected by Mycobacterium tuberculosis (Mtb) during infection. There are at least 9 different types of macrophages, and recent studies suggest that some permit M. tuberculosis re…","https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1012829","Plos.org","2025-10-31 14:00:00","2025-11-03 21:24:30.825751","[""infection""]","9","2025-11-03 21:24:30.825751"
"16","From sea to cure: Discovery of marine-derived therapeutics against Fusarium solani in shrimps for enhancing aquaculture sustainability","Fusarium solani, an Ascomycota filamentous fungus species, causes shell disease or mycotic infections in wild and farmed shrimps. It causes black gill disease in shrimps, which has no specific treatments, so cutting-edge pharmaceutical research to prevent glu…","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0336107","Plos.org","2025-10-31 14:00:00","2025-11-03 21:24:30.825751","[""infection"",""disease"",""glu""]","19.48","2025-11-03 21:24:30.825751"
"17","Bill Gates Warns COP30 Leaders Are 'Wasting Billions' on Climate Panic Instead of Saving Lives","Bill Gates argues that global efforts should prioritise fighting hunger and disease over strict climate targets, claiming this approach will save more lives and improve human welfare.","https://www.ibtimes.com/bill-gates-warns-cop30-leaders-are-wasting-billions-climate-panic-instead-saving-lives-3789046","International Business Times","2025-10-31 10:48:13","2025-11-03 21:24:30.825751","[""warns cop30"",""disease""]","13.04","2025-11-03 21:24:30.825751"
"18","Of the article: Microbiological assessment of a herbal mouth rinse for treating chronic generalized periodontitis","Periodontal diseases remain highly prevalent across age groups, often aggravated by poor oral hygiene, occlusal anomalies, and defective restorations. This study evaluated the effectiveness of Art-Dentale Expert mouthwash against major periodontopathogens in …","https://www.nature.com/articles/s41598-025-22028-9","Nature.com","2025-10-31 00:00:00","2025-11-03 21:24:30.825751","[""disease""]","9","2025-11-03 21:24:30.825751"
"19","Delineating markers of disease-disease interaction: a systematic methodology and its application to multiple diabetes-helminth cohorts","Background Understanding how the molecules in our bodyrespond to the co-occurrence of two diseases in an individual (comorbidity) could lead tomechanistic insights into novel treatments for comorbid conditions. Studies have shown forinstance, that responses o…","https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-025-06226-w","Biomedcentral.com","2025-10-31 00:00:00","2025-11-03 21:24:30.825751","[""disease""]","9.21","2025-11-03 21:24:30.825751"
"20","2025 Malaria and Dengue Cases Surge in Ranchi: District-Wise Analysis Reveals Varied Incidence Rates","Jharkhand's 2025 vector-borne disease report reveals stark contrasts. Southern districts like West Singhbhum lead in malaria with over 7,700 cases, while northern areas show fewer infections. Dengue remains a concern, particularly in urban Ranchi. Health offi…","https://timesofindia.indiatimes.com/city/ranchi/2025-malaria-and-dengue-cases-surge-in-ranchi-district-wise-analysis-reveals-varied-incidence-rates/articleshow/124965544.cms","The Times of India","2025-10-30 18:24:05","2025-11-03 21:24:30.825751","[""disease"",""ICU"",""cases"",""infection"",""health offi""]","29.66","2025-11-03 21:24:30.825751"
"21","Manipur reports 129 new dengue cases; tally rises to 3,594 this year","Manipur faces a significant dengue outbreak this year. Over 3,500 people have tested positive for the viral disease. One death has been reported in Bishnupur district. Health authorities are actively implementing control measures. These include fogging operat…","https://economictimes.indiatimes.com/news/india/manipur-reports-129-new-dengue-cases-tally-rises-to-3594-this-year/articleshow/124958792.cms","The Times of India","2025-10-30 15:20:28","2025-11-03 21:24:30.825751","[""disease"",""operat"",""bishnupur district"",""outbreak"",""cases""]","29.08","2025-11-03 21:24:30.825751"
"22","Mycoplasma Pneumoniae bronchiolitis and hypoxemia: A retrospective cohort study on risk and prognosis","Objective Mycoplasma pneumoniae (MP) bronchiolitis can potentially lead to severe respiratory symptoms and long-term complications. This study aimed to determine the risk factors for the development of hypoxemia in MP bronchiolitis and report its prognosis.  …","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0335604","Plos.org","2025-10-30 14:00:00","2025-11-03 21:24:30.825751","[""symptoms"",""bronchiolitis""]","13.88","2025-11-03 21:24:30.825751"
"23","Newborn screening for sickle cell disease in Caluquembe, southwestern Angola, 2024–2025","Objectives Angola is one of the countries with the highest prevalence of sickle cell disease (SCD). Neonatal SCD testing is recommended by the Angolan government, but it is not routinely performed. Nearly all previous studies of SCD have been conducted in cit…","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0335720","Plos.org","2025-10-30 14:00:00","2025-11-03 21:24:30.825751","[""disease"",""sick""]","14.01","2025-11-03 21:24:30.825751"
"24","The exploitation of nutrient metals by bacteria for survival and infection in the gut","Trace transition metals are required for cellular life processes, such as respiration, metabolism, and DNA replication. At high levels, nutrient metals can be toxic due to oxidative stress and mismetallation of critical metalloenzymes. All organisms tightly r…","https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1013580","Plos.org","2025-10-30 14:00:00","2025-11-03 21:24:30.825751","[""infection""]","8.72","2025-11-03 21:24:30.825751"
"25","Scientists list 10 pressing climate issues: How 2023-24 became warmest, ocean warming among them","New climate science reveals 2023-2024 were the warmest years. Oceans are warming at an unprecedented rate, impacting ecosystems. Dengue outbreaks are at a record high due to climate shifts. These findings underscore the urgent need for accelerated climate act…","https://economictimes.indiatimes.com/news/science/scientists-list-10-pressing-climate-issues-how-2023-24-became-warmest-ocean-warming-among-them/articleshow/124955190.cms","The Times of India","2025-10-30 13:27:06","2025-11-03 21:24:30.825751","[""outbreak""]","8.83","2025-11-03 21:24:30.825751"
"26","All the existing drugs that could stop cancer from returning","‘Drug repurposing’ involves taking medicines that already exist and testing whether they can treat different diseases","https://www.the-independent.com/life-style/health-and-families/breast-cancer-treatment-antibiotics-blood-pressure-b2855178.html","The-independent.com","2025-10-30 10:43:58","2025-11-03 21:24:30.825751","[""disease""]","7.04","2025-11-03 21:24:30.825751"
"27","Bill Gates pivots on climate rhetoric, urges focus on poverty over emissions panic","Gates now argues that apocalyptic climate narratives overshadow urgent humanitarian crises like poverty and disease, urging policymakers to prioritize immediate suffering over theoretical future threats. In a new memo, Gates advocates reallocating resources f…","https://www.naturalnews.com/2025-10-30-bill-gates-urges-focus-poverty-over-emissions-panic.html","Naturalnews.com","2025-10-30 06:00:00","2025-11-03 21:24:30.825751","[""disease""]","8.69","2025-11-03 21:24:30.825751"
"28","Marc Sorenson reveals the sunlight paradox: How modern medicine’s fear of the sun makes people sicker","Public health warnings to avoid the sun have contributed to soaring vitamin D deficiency rates. Chronic diseases linked to sunlight deprivation – cancer, heart disease, diabetes and autoimmune disorders – have risen dramatically. Despite fearmongering, sunlig…","https://www.naturalnews.com/2025-10-30-modern-medicines-fear-of-sun-makes-people-sicker.html","Naturalnews.com","2025-10-30 06:00:00","2025-11-03 21:24:30.825751","[""marc sorenson"",""disease"",""sunlig"",""sick""]","24.15","2025-11-03 21:24:30.825751"
"29","Prevalence and risk factors of scabies among orphans: A cross-sectional study in Bangladesh","Author summary Scabies is a common but often overlooked skin disease that affects children, particularly those from disadvantaged backgrounds. This study investigated how widespread scabies is among children living in orphanages in Dhaka, Bangladesh, and iden…","https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0013671","Plos.org","2025-10-29 14:00:00","2025-11-03 21:24:30.825751","[""iden"",""dhaka"",""disease"",""ICU""]","24.05","2025-11-03 21:24:30.825751"
"30","Spatio-temporal distribution and environmental determinants of dengue vectors in Phnom Penh, Cambodia","Author summary Dengue fever is a major health concern in Southeast Asia, especially in Cambodia, where outbreaks repeatedly affect the population. The pathogen, the dengue virus, is transmitted by two main mosquito vector species, Aedes aegypti and Aedes albo…","https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0013667","Plos.org","2025-10-29 14:00:00","2025-11-03 21:24:30.825751","[""outbreak"",""phnom penh"",""virus"",""cambodia""]","29.15","2025-11-03 21:24:30.825751"
"31","Epidemiologic features and potential year of life lost of scrub typhus in China: A nationwide surveillance analysis (2006– 2023)","Author summary In China, scrub typhus, a disease caused by Orientia tsutsugamushi and spread by its vector, is still a major public health issue. Scrub typhus’s epidemiological patterns, spatiotemporal distribution, and health effects in mainland China from 2…","https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0013666","Plos.org","2025-10-29 14:00:00","2025-11-03 21:24:30.825751","[""china"",""disease"",""orientia tsutsugamushi""]","29.15","2025-11-03 21:24:30.825751"
"32","ZNFX1 functions as a compensatory dsRNA recognition receptor to exert antiviral effect in orange-spotted grouper","Authors summary A diverse array of fish in Actinopterygii lack the canonical dsRNA receptor RIG-I. Whether this deficiency undermines the capacity of fish to defend against RNA viruses, whether alternative antiviral dsRNA receptors exist, and how the intricat…","https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1013652","Plos.org","2025-10-29 14:00:00","2025-11-03 21:24:30.825751","[""virus"",""rig-i.""]","13.99","2025-11-03 21:24:30.825751"
"33","Is it dangerous to catch a cold… or was Jane Austen just being dramatic?","In many of Austen’s novels, going out in the rain meant risking illness or death. Was this really the case?","https://theconversation.com/is-it-dangerous-to-catch-a-cold-or-was-jane-austen-just-being-dramatic-268440","The Conversation Africa","2025-10-29 11:44:02","2025-11-03 21:24:30.825751","[""illness""]","7.06","2025-11-03 21:24:30.825751"
"34","Roche receives CE mark for novel automated high-throughput Elecsys Dengue Ag test to diagnose dengue","Basel, 29 October 2025 - Roche (SIX: RO, ROG; OTCQX: RHHBY) announced today that it has received CE mark for its Elecsys® Dengue Ag test – a high-throughput, fully automated immunoassay to be used as an aid in the diagnosis of an acute dengue virus infection.…","https://www.globenewswire.com/news-release/2025/10/29/3176120/0/en/Roche-receives-CE-mark-for-novel-automated-high-throughput-Elecsys-Dengue-Ag-test-to-diagnose-dengue.html","GlobeNewswire","2025-10-29 06:00:00","2025-11-03 21:24:30.825751","[""roche"",""virus"",""infection"",""®""]","24.14","2025-11-03 21:24:30.825751"
"35","Eighteen people infected with dengue in Baitadi","BAITADI: Dengue cases are on the rise in Baitadi, with 18 infections confirmed in the past three months, according to the District Health Office. Lab Technician Inspector Jay Singh Badal informed that the cases have been detected across four municipalities. O…","https://english.khabarhub.com/2025/29/503265/","Khabarhub.com","2025-10-29 02:44:37","2025-11-03 21:24:30.825751","[""cases"",""infection"",""jay singh""]","18.61","2025-11-03 21:24:30.825751"
"36","Madhya Pradesh: 20-year-old dies as ambulance stops to ‘see leopard’, reaches hospital late; driver, staff held","A malaria patient tragically died after an ambulance driver stopped in a forested area, claiming to have seen a leopard. The patient's family alleges the driver and attendant demanded extra fare during the delay. Authorities arrested the duo, who now face cha…","https://timesofindia.indiatimes.com/city/bhopal/mp-horror-patient-dies-after-ambulance-halts-over-leopard-sighting-driver-staff-held-for-demanding-extra-money/articleshow/124886570.cms","The Times of India","2025-10-29 02:01:22","2025-11-03 21:24:30.825751","[""WHO"",""hospital""]","14.25","2025-11-03 21:24:30.825751"
"37","HHS fires senior adviser who opposed COVID-19 vaccines: Reports","The former health official previously served as Trump's adviser in his first term and advocated for using hydroxychloroquine, an anti-malaria drug, for treating COVID-19 infections during the pandemic.","https://justthenews.com/politics-policy/health/hhs-fires-senior-advisor-who-opposed-covid-19-vaccines-reports","Justthenews.com","2025-10-29 00:32:40","2025-11-03 21:24:30.825751","[""WHO"",""infection"",""pandemic""]","18.44","2025-11-03 21:24:30.825751"
"38","How climate change is making us sick","The recent discovery of mosquitos in Iceland is just one way the climate crisis is creating new health hazards. A new scientific report says these risks are now unprecedented.","https://www.dw.com/en/how-climate-change-is-making-us-sick/a-74519829","DW (English)","2025-10-29 00:01:00","2025-11-03 21:24:30.825751","[""sick""]","7.38","2025-11-03 21:24:30.825751"
"39","Bird flu outbreak confirmed in St. Louis County, other Missouri communities - KSDK","Bird flu outbreak confirmed in St. Louis County, other Missouri communitiesKSDK We may never get bird flu — or egg prices — under controlvox.com Avian Flu detected on more Minnesota turkey farmsCIDRAP A Mild Avian Influenza Season Ahead?Contagion Live Bird Fl…","https://slashdot.org/firehose.pl?op=view&amp;id=179925190","Slashdot.org","2025-10-31 22:32:04","2025-11-03 21:24:30.825751","[""st."",""minnesota"",""louis county"",""outbreak"",""missouri""]","38.69","2025-11-03 21:24:30.825751"
"40","Horizon treats patients in hallways, storage rooms as record-high beds occupied by long-term care patients","The number of Horizon hospital beds occupied by people awaiting long-term care has reached a record high, pushing occupancy rates to crisis levels, officials warned Thursday.","https://www.cbc.ca/news/canada/new-brunswick/horizon-alternate-level-of-care-patients-beds-occupancy-9.6961956","CBC News","2025-10-31 17:10:24","2025-11-03 21:24:30.825751","[""hospital""]","8.07","2025-11-03 21:24:30.825751"
"41","Hungary reports bird flu outbreak on farm, WOAH says","","https://biztoc.com/x/c3bb80c65463a4ee","Biztoc.com","2025-10-31 10:47:50","2025-11-03 21:24:30.825751","[""outbreak"",""hungary""]","10.79","2025-11-03 21:24:30.825751"
"42","US woman woke up with flu-like symptoms and thought it was sinus infection. She was diagnosed with stage 3 ovarian cancer","A 42-year-old woman's Disney trip plans were derailed by flu-like symptoms, initially mistaken for a sinus infection.  Despite negative COVID tests, further evaluation revealed stage 3 ovarian cancer.  Her story highlights the often-vague symptoms of this 'si…","https://economictimes.indiatimes.com/news/international/global-trends/us-woman-woke-up-with-flu-like-symptoms-and-thought-it-was-sinus-infection-she-was-diagnosed-with-stage-3-ovarian-cancer/articleshow/124986560.cms","The Times of India","2025-10-31 10:31:13","2025-11-03 21:24:30.825751","[""us"",""symptoms"",""infection"",""diagnosed""]","24.61","2025-11-03 21:24:30.825751"
"43","New Covid strain found in moustached bats — scientists fear it’s been spreading for months","Scientists have found a new virus called BRZ batCoV in moustached bats in Latin America. Experts are studying it because it has some Covid-like traits. They say there is no sign it spreads to humans yet, but it shows why watching viruses in animals is very im…","https://economictimes.indiatimes.com/news/international/us/new-covid-strain-found-in-moustached-bats-scientists-fear-its-been-spreading-for-months/articleshow/124960881.cms","The Times of India","2025-10-30 16:26:56","2025-11-03 21:24:30.825751","[""virus""]","8.77","2025-11-03 21:24:30.825751"
"44","Please pray for baby Dylan","Baby Dylan, under one year old, suddenly and unexpectedly began having seizures...for hours. He's in the hospital being kept under heavy sedation. When they try to bring him out, he begins seizing again. They say he has something called ""Perry flu"". I'm not f…","https://freerepublic.com/focus/f-bloggers/4349627/posts","Freerepublic.com","2025-10-30 16:11:32","2025-11-03 21:24:30.825751","[""hospital""]","8.13","2025-11-03 21:24:30.825751"
"45","UKHSA 'monitoring situation' after meningitis cases","The government body says meningitis symptoms can easily be confused with a hangover.","https://www.bbc.com/news/articles/cpwv17ywk45o","BBC News","2025-10-30 12:00:26","2025-11-03 21:24:30.825751","[""symptoms"",""cases""]","11.89","2025-11-03 21:24:30.825751"
"46","Elderly patients facing 'war-like' conditions in Britain's hospitals","Corridor care in Britain's hospitals is a ""crisis in plain sight"", a charity has warned, with patients complaining of long waits and warzone-like conditions.","https://news.sky.com/story/elderly-patients-facing-war-like-conditions-in-britains-hospitals-says-report-13460650","Sky.com","2025-10-30 11:59:00","2025-11-03 21:24:30.825751","[""britain"",""hospital""]","17.52","2025-11-03 21:24:30.825751"
"47","How one hospital combated ER overcrowding with predictive analytics","Data-informed throughput optimization created the equivalent capacity of a 30-bed unit, according to the hospital president.","https://www.techtarget.com/healthtechanalytics/feature/How-one-hospital-combated-ER-overcrowding-with-predictive-analytics","Techtarget.com","2025-10-30 08:00:00","2025-11-03 21:24:30.825751","[""hospital""]","7.18","2025-11-03 21:24:30.825751"
"48","Why no person is allowed to die in this town of Norway","In Norway's remote Longyearbyen, a unique law prohibits dying or being born due to permafrost preserving ancient viruses. Scientists discovered this when bodies from the 1918 Spanish flu still harbored the virus. Pregnant women and the terminally ill must tra…","https://timesofindia.indiatimes.com/life-style/travel/destinations/why-no-person-is-allowed-to-die-in-this-town-of-norway/articleshow/124912934.cms","The Times of India","2025-10-29 18:05:29","2025-11-03 21:24:30.825751","[""virus"",""norway""]","18.41","2025-11-03 21:24:30.825751"
"49","Masking at health-care facilities mandatory starting Monday, says NLHS","Newfoundland and Labrador Health Services is bringing back a masking requirement in clinical areas in hospitals and health-care facilities in a bid to cut down on the spread of respiratory infections.","https://www.cbc.ca/news/canada/newfoundland-labrador/nlhs-mask-mandate-hospitals-9.6958049","CBC News","2025-10-29 15:13:31","2025-11-03 21:24:30.825751","[""nlhs newfoundland"",""infection"",""hospital""]","18.24","2025-11-03 21:24:30.825751"
"50","Avian flu found on 5 commercial poultry farms in Manitoba, culls now underway","The Canadian Food Inspection Agency says avian influenza has been found in five commercial poultry flocks in Manitoba, the first cases detected since early May.","https://www.cbc.ca/news/canada/manitoba/avian-flu-poultry-farms-manitoba-culls-9.6956774","CBC News","2025-10-29 14:05:37","2025-11-03 21:24:30.825751","[""manitoba"",""cases"",""avian influenza""]","22.64","2025-11-03 21:24:30.825751"
"51","Fota Wildlife Park ‘exploring support options’ to help with €120,000 per week costs during closure","Fota Wildlife Park has been closed to the public since 14 October due to confirmed cases of avian influenza, more commonly known as bird flu.","https://www.thejournal.ie/fota-wildlife-park-cork-closure-bird-flu-6859195-Oct2025/","TheJournal.ie","2025-10-29 13:50:47","2025-11-03 21:24:30.825751","[""cases"",""fota""]","12.66","2025-11-03 21:24:30.825751"
"52","Disease in flight: Bird flu spreads in Europe, US","Science News: Bird flu cases are rising in the Northern Hemisphere, and outbreaks are likely to continue testing farmers and public health authorities determined to.","https://timesofindia.indiatimes.com/science/disease-in-flight-bird-flu-spreads-in-europe-us/articleshow/124895484.cms","The Times of India","2025-10-29 09:37:47","2025-11-03 21:24:30.825751","[""outbreak"",""cases"",""disease""]","17.94","2025-11-03 21:24:30.825751"
"53","Infection of new wild bird species is driving Europe’s soaring avian flu","The World Organisation for Animal Health called on Europe to avoid alarmism","https://biztoc.com/x/6cd23b284476ba76","Biztoc.com","2025-10-28 17:04:19","2025-11-03 21:24:30.825751","[""infection""]","6.74","2025-11-03 21:24:30.825751"
"54","Infection of new wild bird species is driving Europe’s soaring avian flu","The World Organisation for Animal Health called on Europe to avoid alarmism","https://www.euractiv.com/news/infection-of-new-wild-bird-species-is-driving-europes-soaring-avian-flu/","EURACTIV","2025-10-28 16:50:01","2025-11-03 21:24:30.825751","[""infection""]","6.74","2025-11-03 21:24:30.825751"
"55","'Made in Chelsea's Sam Vanderpump Has ‘End-Stage Liver Disease’","Lisa Vanderpump's nephew Sam Vanderpump has revealed a terrifying health diagnosis -- he has irreversible ""end-stage"" liver disease. The 28-year-old ""Made in Chelsea"" star opened up about the diagnosis on Monday night's episode of the series,…","https://www.tmz.com/2025/10/28/sam-vanderpump-end-stage-liver-disease/","TMZ","2025-10-28 16:24:03","2025-11-03 21:24:30.825751","[""disease"",""sam vanderpump"",""nephew sam vanderpump"",""lisa vanderpump's"",""chelsea""]","28.33","2025-11-03 21:24:30.825751"
"56","How a surge in ancient plagues 5000 years ago shaped humanity","Plague, leprosy, smallpox and other diseases didn't jump from animals to humans when we thought. Ancient DNA is revealing where they come from and how they changed history","https://www.newscientist.com/article/2500060-how-a-surge-in-ancient-plagues-5000-years-ago-shaped-humanity/","New Scientist","2025-10-28 16:00:31","2025-11-03 21:24:30.825751","[""disease""]","7.59","2025-11-03 21:24:30.825751"
"57","With Thanksgiving Around the Corner, Bird Flu Cases Are on the Rise Again","","https://biztoc.com/x/bb573ad4e75ae5f7","Biztoc.com","2025-10-28 15:24:45","2025-11-03 21:24:30.825751","[""cases""]","6","2025-11-03 21:24:30.825751"
"58","Disease in flight: Bird flu spreads in Europe, US. What's new?","Migratory birds are spreading the deadly H5N1 disease again, forcing German, Danish and Dutch farms to kill poultry stock. US cases are rising, too.","https://www.dw.com/en/h5n1-bird-flu-spreading-to-poultry-via-migratory-cranes-germany-denmark-netherlands-usa-europe/a-74527770","DW (English)","2025-10-28 14:25:00","2025-11-03 21:24:30.825751","[""cases"",""disease""]","12.64","2025-11-03 21:24:30.825751"
"59","What is mulethi? Why this herb tea is great for changing season","Mulethi, or licorice root, is a potent herb offering significant benefits during seasonal transitions. Its immune-boosting and respiratory-soothing properties combat common cold and flu symptoms. Mulethi tea also aids digestion and reduces inflammation, makin…","https://timesofindia.indiatimes.com/life-style/food-news/what-is-mulethi-why-this-herb-tea-is-great-for-changing-season/articleshow/124870131.cms","The Times of India","2025-10-28 10:01:44","2025-11-03 21:24:30.825751","[""symptoms""]","8.5","2025-11-03 21:24:30.825751"
"60","DOH issues health tips for the ‘amihan’ season","The Department of Health advised the public to take preventive measures to avoid illnesses as the country enters the “amihan” (northeast monsoon) season.","https://interaksyon.philstar.com/trends-spotlights/2025/10/28/304080/doh-health-tips-amihan-season/","Philippine Star","2025-10-28 09:50:45","2025-11-03 21:24:30.825751","[""illness""]","7.26","2025-11-03 21:24:30.825751"
"61","Germany: 500,000 birds culled as flu spreads - DW","Germany: 500,000 birds culled as flu spreadsDW Rapid early spread of bird flu in Europe raises fears of fresh crisisReuters Slovakia reports H5N1 bird flu outbreak, WOAH saysGlobal Banking | Finance | Review German farms set to cull 130,000 ducks and chickens…","https://slashdot.org/firehose.pl?op=view&amp;id=179889784","Slashdot.org","2025-10-28 08:52:11","2025-11-03 21:24:30.825751","[""outbreak"",""germany""]","13.36","2025-11-03 21:24:30.825751"
